Sentence,Sentiment,Category
"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.",Negative,Purchase or Value Concerns
They made this case too small and is very difficult to install.,Negative,Negative Sentiment
Restored my phone to like new performance.,Positive,Positive Sentiment
"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.",Positive,Positive Sentiment
"I searched the Internet, and found this one to be the best value.",Positive,Positive Sentiment
Does not fit.,Negative,Negative Sentiment
Very happy with this product.,Positive,Positive Sentiment
"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",Positive,Positive Sentiment
There's really nothing bad I can say about this headset.,Negative,Negative Sentiment
"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",Positive,Positive Sentiment
Portable and it works.,Positive,Positive Sentiment
"My colleague & I now get great reception.A little expensive, but performance is great.",Positive,Positive Sentiment
I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,Negative,Technical Issues
I've also had problems with the phone reading the memory card in which I always turn it on and then off again.,Negative,Technical Issues
Not good when wearing a hat or sunglasses.,Negative,Negative Sentiment
Timely shipment and quality product.,Positive,Positive Sentiment
Nice solid keyboard.,Positive,Positive Sentiment
Very well made and fits my Surefire GX2 perfectly.,Positive,Positive Sentiment
Horrible phone.,Negative,Negative Sentiment
BT50 battery junk!.,Negative,Technical Issues
We would recommend these to others.,Positive,Positive Sentiment
Cant get the software to work with my computer.,Negative,Negative Sentiment
Disappointed!.,Negative,Negative Sentiment
poor voice clarity.,Negative,Negative Sentiment
The battery works great!,Positive,Positive Sentiment
No buyers remorse on this one!.,Negative,Purchase or Value Concerns
Very disappointed in AccessoryOne.,Negative,Negative Sentiment
I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,Negative,Purchase or Value Concerns
"Looks great and is strong.""",Positive,Positive Sentiment
"I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.",Positive,Positive Sentiment
The update procedure is difficult and cumbersome.,Negative,Negative Sentiment
Disappointment.. I hate anything that goes in my ear.,Negative,Negative Sentiment
Great software for Motorolas.,Positive,Positive Sentiment
The delivery was on time.,Positive,Positive Sentiment
Very easy to use.,Positive,Positive Sentiment
"Uncomfortable In the Ear, Don't use with LG VX9900 (EnV).",Negative,Negative Sentiment
The volume switch rocketed out of the unit to a destination unknown.,Negative,Technical Issues
"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",Positive,Positive Sentiment
I'd like to return it.,Negative,Purchase or Value Concerns
The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,Positive,Positive Sentiment
"Verizon's bills, however, are difficult to understand even though their pricing plans are simple.",Negative,Negative Sentiment
"After charging overnight, these batteries work great.",Positive,Positive Sentiment
You won't regret it!,Positive,Positive Sentiment
I love this phone!.,Positive,Positive Sentiment
A Disappointment.,Negative,Negative Sentiment
Its not user friendly.,Negative,Negative Sentiment
Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,Negative,Negative Sentiment
"Then I exchanged for the same phone, even that had the same problem.",Negative,Technical Issues
This results in the phone being either stuck at max volume or mute.,Negative,Technical Issues
This PDA rocks.,Positive,Positive Sentiment
"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",Positive,Positive Sentiment
"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",Positive,Positive Sentiment
I had Verizon 2 years ago and really liked their service.,Positive,Positive Sentiment
Pretty piece of junk.,Negative,Negative Sentiment
Plug was the wrong size.,Negative,Technical Issues
Works as described.,Positive,Positive Sentiment
Save your money.... I've had this item for 11 months now.,Negative,Purchase or Value Concerns
Bad Purchase.,Negative,Purchase or Value Concerns
WELL IM SATISFIED.,Positive,Positive Sentiment
"The bose noise cancelling is amazing, which is very important for a NYC commuter.",Positive,Positive Sentiment
This battery is an excellent bargain!,Positive,Positive Sentiment
Defective crap.,Negative,Negative Sentiment
I would have given no star if I was able.,Negative,Negative Sentiment
I wear glasses and it fits fine with them.,Positive,Positive Sentiment
"The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.",Negative,Technical Issues
I would not recommend this item to anyone.,Negative,Negative Sentiment
The holster that arrived did not match the photo in the ad.,Negative,Negative Sentiment
great...no problems at all!.,Positive,Positive Sentiment
"As an earlier review noted, plug in this charger and nothing happens.",Negative,Technical Issues
This frog phone charm is adorable and very eye catching.,Positive,Positive Sentiment
You never know if you pushed it hard enough or the right number of times for the function you want or not.,Negative,Negative Sentiment
The sound is clear and the people I talk to on it are amazed at the quality too.,Positive,Positive Sentiment
I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,Positive,Positive Sentiment
"very good product, well made.",Positive,Positive Sentiment
Mobile Phone Tools are a must have.,Positive,Positive Sentiment
I am very impressed with the job that Motorola did on the sturdiness of this phone.,Positive,Positive Sentiment
"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.",Positive,Positive Sentiment
The phone is sturdy and waterproof.,Positive,Positive Sentiment
I am not impressed with this and i would not recommend this item to anyone.,Negative,Negative Sentiment
My only complaint is the standard sound volume is a little low even when turned up to 5(of 5),Negative,Technical Issues
Thanks again to Amazon for having the things I need for a good price!,Positive,Positive Sentiment
I ended up sliding it on the edge of my pants or back pockets instead.,Positive,Positive Sentiment
I had to go to a store and bought a new NOKIA phone which is working great.,Positive,Positive Sentiment
Works great!.,Positive,Positive Sentiment
REALLY UGLY.,Negative,Negative Sentiment
"horrible, had to switch 3 times.",Negative,Negative Sentiment
The noise shield is incrediable.,Positive,Positive Sentiment
No real improvement.,Negative,Negative Sentiment
Razr Battery - Good buy.,Positive,Positive Sentiment
Keep up the good work Amazon!!,Positive,Positive Sentiment
They refuse to refund or replace.,Negative,Purchase or Value Concerns
Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,Negative,Negative Sentiment
So I basically threw my money out the window for nothing.,Negative,Purchase or Value Concerns
Great case and price!,Positive,Positive Sentiment
All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.,Negative,Negative Sentiment
"Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.",Positive,Positive Sentiment
"Small, sleek, impressive looking, practical setup with ample storage in place.",Positive,Positive Sentiment
The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,Positive,Positive Sentiment
none of the new ones have ever quite worked properly.,Negative,Negative Sentiment
I am glad I purchased it.,Positive,Positive Sentiment
I've missed numerous calls because of this reason.,Negative,Negative Sentiment
"Perhaps my phone is defective, but people cannot hear me when I use this.",Negative,Negative Sentiment
Don't buy this product.,Negative,Purchase or Value Concerns
"sucked, most of the stuff does not work with my phone.",Negative,Technical Issues
"No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid.",Positive,Positive Sentiment
Worst software ever used.... If I could give this zero stars I would.,Negative,Negative Sentiment
Trying to make a call on these is an exercise in frustration.,Negative,Negative Sentiment
The case is a flimsy piece of plastic and has no front or side protection whatsoever.,Negative,Negative Sentiment
"I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better.",Positive,Positive Sentiment
"I love the camera, it's really pretty good quality.",Positive,Positive Sentiment
Thank you for such great service.,Positive,Positive Sentiment
Its a total package.,Positive,Positive Sentiment
"The seller is very understanding and patient, I would definitely buy from them again.",Positive,Positive Sentiment
I give Wirefly 1 star.I will contact Cingular/AT&T; and inform them of this practice.,Negative,Negative Sentiment
It's AGGRAVATING!,Negative,Negative Sentiment
Great product for the price!.,Positive,Positive Sentiment
"I have purchased these for both family and friends, and all enjoy their clarity and ease of use",Positive,Positive Sentiment
Virgin Wireless rocks and so does this cheap little phone!,Positive,Positive Sentiment
"None of it works, just don't buy it.",Negative,Purchase or Value Concerns
"Muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off.",Negative,Technical Issues
Please dont waste your money.,Negative,Purchase or Value Concerns
"All in all, I'm quite satisfied with this purchase.",Positive,Positive Sentiment
"If you are looking for a good quality Motorola Headset keep looking, this isn't it.",Negative,Negative Sentiment
Yet Plantronincs continues to use the same flawed charger design.,Negative,Technical Issues
Disapointing Results.,Negative,Negative Sentiment
Cumbersome design.,Negative,Negative Sentiment
"Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!",Positive,Positive Sentiment
Great Product.,Positive,Positive Sentiment
It's A PIECE OF CRAP!,Negative,Negative Sentiment
"My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!",Negative,Negative Sentiment
This fixes all the problems.,Positive,Positive Sentiment
Worst ever.,Negative,Negative Sentiment
I am very happy,Positive,Positive Sentiment
"I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions.",Positive,Positive Sentiment
"I can barely ever hear on it and am constantly saying ""what?""",Negative,Negative Sentiment
The battery life is highly unacceptable.,Negative,Technical Issues
That company is a joke.,Negative,Negative Sentiment
It does everything the description said it would.,Positive,Positive Sentiment
Due to this happening on every call I was forced to stop using this headset.,Negative,Negative Sentiment
"It works great with a car charger, especially if you cannot plug in two adapters at the same time.",Positive,Positive Sentiment
"Verizon tech support walked my through a few procedures, none of which worked and I ended up having to do a hard re-set, wiping out all my data.",Negative,Negative Sentiment
"Voice Quality, Signal Strength, Dropped Calls.",Negative,Negative Sentiment
"It plays louder than any other speaker of this size; the price is so low that most would think the quality is lacking, however, it's not.",Positive,Positive Sentiment
Better than expected.,Positive,Positive Sentiment
"It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.",Negative,Negative Sentiment
Battery is holding up well.,Positive,Positive Sentiment
Also difficult to put on.I'd recommend avoiding this product.,Negative,Negative Sentiment
"I only used it two days, and it wasn't always easy to hear with.",Negative,Negative Sentiment
I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.,Negative,Technical Issues
Sprint - terrible customer service.,Negative,Negative Sentiment
Linked to my phone without effort.,Positive,Positive Sentiment
THey are so cool!,Positive,Positive Sentiment
Easy to use.,Positive,Positive Sentiment
Better Than New.,Positive,Positive Sentiment
"What possesed me to get this junk, I have no idea...",Negative,Negative Sentiment
Piece of trash.,Negative,Negative Sentiment
A pretty good product.,Positive,Positive Sentiment
This is a great phone!.,Positive,Positive Sentiment
"For the price on Amazon, it is an excellent product, which I would highly recommend.",Positive,Positive Sentiment
Their Research and Development division obviously knows what they're doing.,Positive,Positive Sentiment
"The real killer is the volume, and of course it breaking.",Negative,Technical Issues
Those phones are working just fine now.,Positive,Positive Sentiment
I am more than happy with this product.,Positive,Positive Sentiment
Poor Construction.,Negative,Negative Sentiment
This is infuriating.,Negative,Negative Sentiment
"Overall, I would recommend this phone over the new Walkman.",Positive,Positive Sentiment
Sprint charges for this service.,Negative,Technical Issues
"It is cheap, and it feel and look just as cheap.",Negative,Negative Sentiment
It fits my ear well and is comfortable on.,Positive,Positive Sentiment
It doesn't work in Europe or Asia.,Negative,Technical Issues
clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.,Positive,Positive Sentiment
I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.,Positive,Positive Sentiment
I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,Positive,Positive Sentiment
the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.,Negative,Negative Sentiment
the charger worked for about a week and then completely stopped charging my phone.,Negative,Technical Issues
Poor product.,Negative,Negative Sentiment
However I needed some better instructions.,Negative,Negative Sentiment
You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.,Negative,Negative Sentiment
Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).,Positive,Positive Sentiment
"Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack.",Negative,Negative Sentiment
DO NOT BUY DO NOT BUYIT SUCKS,Negative,Purchase or Value Concerns
This is a great product..... sure beats using your fingers!.,Positive,Positive Sentiment
"Plus, I seriously do not believe it is worth its steep price point.",Negative,Purchase or Value Concerns
All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul.,Positive,Positive Sentiment
Very Dissapointing Performance.,Negative,Negative Sentiment
Don't make the same mistake that I did and please don't buy this phone.,Negative,Purchase or Value Concerns
This phone might well be the worst I've ever had in any brand.,Negative,Negative Sentiment
Case was more or less an extra that I originally put on but later discarded because it scratched my ear.,Negative,Negative Sentiment
I recommend iGo to anyone with different brand cell phones/mp3 players in the family.,Positive,Positive Sentiment
Don't bother - go to the store.,Negative,Negative Sentiment
"I posted more detailed comments under the grey or black phone, but i have the Fire Red and it's a great color!",Positive,Positive Sentiment
I did not have any problem with this item and would order it again if needed.,Positive,Positive Sentiment
You get what you pay for I guess.,Negative,Negative Sentiment
"Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.",Positive,Positive Sentiment
im surprised this is a good quality car charger and there's not much reviews about it.,Positive,Positive Sentiment
These are fabulous!,Positive,Positive Sentiment
"However, BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.",Negative,Negative Sentiment
I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.,Positive,Positive Sentiment
Disappointing accessory from a good manufacturer.,Negative,Negative Sentiment
"Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.",Negative,Technical Issues
Very wind-resistant.,Positive,Positive Sentiment
"Obviously they have a terrible customer service, so you get what you pay for.",Negative,Negative Sentiment
"They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.",Positive,Positive Sentiment
"I contacted the company and they told me that, although the unit was still under warranty, if I couldn't produce my receipt I was out of luck.",Negative,Negative Sentiment
Linksys should have some way to exchange a bad phone for a refurb unit or something!,Negative,Negative Sentiment
Phone is sturdy as all nokia bar phones are.,Positive,Positive Sentiment
Great phone.,Positive,Positive Sentiment
"When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides.",Negative,Negative Sentiment
I'm pleased.,Positive,Positive Sentiment
Battery is terrible.,Negative,Technical Issues
I found the product to be easy to set up and use.,Positive,Positive Sentiment
The earpiece on this is too large or too heavy...it keeps falling out of my ear.,Negative,Negative Sentiment
Utter crap.. Sound quality is TERRIBLE.,Negative,Technical Issues
"The charger arrived within the promised timeframe, but it did not work.",Negative,Technical Issues
"No ear loop needed, it's tiny and the sound is great.",Positive,Positive Sentiment
"Finally, after three or four times the spring of the latch broke and I could not use it any longer on the visor.",Negative,Negative Sentiment
"The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high.",Positive,Positive Sentiment
Talk about USELESS customer service.,Negative,Negative Sentiment
"It felt too light and ""tinny."".",Negative,Negative Sentiment
This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.,Negative,Technical Issues
I'm happy about this purchase- good quality and low price.,Positive,Positive Sentiment
I love the look and feel of Samsung flipphones.,Positive,Positive Sentiment
Its well-designed and very sharp -- the blue is a very nice color.,Positive,Positive Sentiment
Does everything it should and more.,Positive,Positive Sentiment
I could not recommend these more.,Negative,Negative Sentiment
Nice Sound.,Positive,Positive Sentiment
"Looks good in the picture, but this case was a huge disappointment!!",Negative,Negative Sentiment
Much less than the jawbone I was going to replace it with.,Positive,Positive Sentiment
Setup went very smoothly.,Positive,Positive Sentiment
its extremely slow and takes forever to do anything with it.,Negative,Negative Sentiment
"A must study for anyone interested in the ""worst sins"" of industrial design.",Negative,Negative Sentiment
The first thing that happened was that the tracking was off.,Negative,Negative Sentiment
"It is well made, easy to access the phone and has a handy, detachable belt clip.",Positive,Positive Sentiment
Then I had to continue pairing it periodically since it somehow kept dropping.,Negative,Negative Sentiment
Can't upload ringtones from a third party.,Negative,Negative Sentiment
"Bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked.",Negative,Technical Issues
Truly awful.,Negative,Negative Sentiment
"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",Positive,Positive Sentiment
The volume for the ringer is REAL good (you have choices how loud).,Positive,Positive Sentiment
And none of the tones is acceptable.,Negative,Negative Sentiment
camera color balance is AWFUL.,Negative,Negative Sentiment
"This product is clearly not ready for prime time, I don't care how cool it looks, if you can't tell a call is coming in it's worthless.",Negative,Negative Sentiment
I love the ringtones because they are so upbeat!,Positive,Positive Sentiment
Chinese Forgeries Abound!.,Negative,Negative Sentiment
Easy to pair with my Samsung Cell.,Positive,Positive Sentiment
The instructions didn't explain that a microphone jack could be used.,Negative,Negative Sentiment
i would advise to not purchase this item it never worked very well.,Negative,Purchase or Value Concerns
Too bad you have to pay up to $$$ a month for the service!,Negative,Negative Sentiment
Works well.,Positive,Positive Sentiment
The nokia CA-42 USB cable did not work with my phone.,Negative,Technical Issues
Clear crisp sound.,Positive,Positive Sentiment
"I have to use the smallest earpieces provided, but it stays on pretty well.",Positive,Positive Sentiment
"The biggest complaint I have is, the battery drains superfast.",Negative,Technical Issues
The design might be ergonomic in theory but I could not stand having these in my ear.,Negative,Negative Sentiment
Do NOT buy if you want to use the holster.,Negative,Purchase or Value Concerns
The phone can also take great pictures and even video clips.,Positive,Positive Sentiment
It doesn't make you look cool.,Negative,Technical Issues
"Because both ears are occupied, background is not distracting at all.",Positive,Positive Sentiment
"Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.",Positive,Positive Sentiment
"Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.",Negative,Technical Issues
You can't beat the price on these.,Positive,Positive Sentiment
"* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!",Positive,Positive Sentiment
lightweight and works well.,Positive,Positive Sentiment
So just beware.,Negative,Negative Sentiment
I love this cable - it allows me to connect any mini-USB device to my PC.,Positive,Positive Sentiment
So anyone near you will hear part of your conversation.,Negative,Negative Sentiment
This is cool because most cases are just open there allowing the screen to get all scratched up.,Positive,Positive Sentiment
I bought this phone as a replacement for my StarTac and have regretted it since.,Negative,Negative Sentiment
Appears to actually outperform the original battery from China that came with my V325i.,Positive,Positive Sentiment
Can't store anything but phone numbers to SIM.,Negative,Negative Sentiment
"It lasts less than 3o minutes, if I actually try to use the phone.My wife has the same phone with the same problem.",Negative,Technical Issues
Poor quality.,Negative,Negative Sentiment
"jabra ear gels ""R"" the best!.",Positive,Positive Sentiment
Not worth it.,Negative,Negative Sentiment
The phone crashed completely and now I have to get it replaced.,Negative,Negative Sentiment
"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.",Positive,Positive Sentiment
"Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc).",Negative,Technical Issues
It was a great phone.,Positive,Positive Sentiment
if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.,Negative,Negative Sentiment
"Good value, works fine - power via USB, car, or wall outlet.",Positive,Positive Sentiment
My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,Positive,Positive Sentiment
This is simply the BEST bluetooth headset for sound quality!,Positive,Positive Sentiment
Think it over when you plan to own this one!This sure is the last MOTO phone for me!,Negative,Negative Sentiment
"In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?",Positive,Positive Sentiment
I have always used corded headsets and the freedom from the wireless is very helpful.,Positive,Positive Sentiment
"This case has passed the one year mark and while it shows signs of wear, it is 100% functional.",Positive,Positive Sentiment
"Other than that, the leather is nice and soft; the fit is very tight; the cut out for the face is a good shape.",Positive,Positive Sentiment
It has everything I need and I couldn't ask for more.,Positive,Positive Sentiment
After receiving and using the product for just 2 days it broke.,Negative,Negative Sentiment
This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,Positive,Positive Sentiment
None of the three sizes they sent with the headset would stay in my ears.,Negative,Negative Sentiment
T-Mobile has the best customer service anywhere.,Positive,Positive Sentiment
Arrived quickly and much less expensive than others being sold.,Positive,Positive Sentiment
We have tried 2 units and they both failed within 2 months.. Pros,Negative,Technical Issues
"Provides good protection and looks classy, too.",Positive,Positive Sentiment
Krussel Always good.,Positive,Positive Sentiment
"The tracfonewebsite is user friendly and makes it easy toactivate, etc.",Positive,Positive Sentiment
The design is very good.4.,Positive,Positive Sentiment
I great reception all the time.,Positive,Positive Sentiment
I would highly recommend this product.,Positive,Positive Sentiment
"Couldn't use the unit with sunglasses, not good in Texas!",Negative,Negative Sentiment
It dit not work most of the time with my Nokia 5320.,Negative,Technical Issues
"Bought mainly for the charger, which broke soon after purchasing.",Negative,Technical Issues
"If you like a loud buzzing to override all your conversations, then this phone is for you!",Negative,Negative Sentiment
Fantastic buy and will get again for whatever my next phone is,Positive,Positive Sentiment
"stay away from this store, be careful.",Negative,Negative Sentiment
This BlueAnt Supertooth hands-free phone speaker is AWESOME.,Positive,Positive Sentiment
Does not fit.,Negative,Negative Sentiment
.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.,Positive,Positive Sentiment
"It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.",Positive,Positive Sentiment
disappointing.,Negative,Negative Sentiment
Blue Ant is easy to use.,Positive,Positive Sentiment
Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.,Positive,Positive Sentiment
The camera on the phone may be used as a dustpan when indoors... I'd rather be using a disposable then this.,Negative,Negative Sentiment
Then a few days later the a puff of smoke came out of the phone while in use.,Negative,Negative Sentiment
It's very convenient and simple to use - gets job done & makes the car ride so much smoother.,Positive,Positive Sentiment
The nano stated it.My son was dissapointed.,Negative,Negative Sentiment
The sound quality is excellent as well.,Positive,Positive Sentiment
Its the best headset I have used.,Positive,Positive Sentiment
Would not reccommend.,Negative,Negative Sentiment
They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.,Positive,Positive Sentiment
Just what I wanted.,Positive,Positive Sentiment
This particular model would not work with my Motorola Q smartphone.,Negative,Technical Issues
wont work right or atleast for me.,Negative,Negative Sentiment
in addition it feels &amp; looks as if the phone is all lightweight cheap plastic.,Negative,Negative Sentiment
"But now that it is ""out of warranty"" the same problems reoccure.Bottom line... put your money somewhere else... Cingular will not support it.",Negative,Technical Issues
"I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The good",Negative,Technical Issues
Great product.,Positive,Positive Sentiment
Crisp and Clear.,Positive,Positive Sentiment
AFter the first charge kept going dead after 12 minutes.,Negative,Technical Issues
"VERY cheap plastic, creaks like an old wooden floor.",Negative,Negative Sentiment
"I get absolutely horrible reception in my apartment, where with other phones I have not had this problem.",Negative,Technical Issues
The reception has been generally good.,Positive,Positive Sentiment
"Excellent sound, battery life and inconspicuous to boot!.",Positive,Positive Sentiment
Great bluetooth!.,Positive,Positive Sentiment
I highly recommend this case.,Positive,Positive Sentiment
WORTHWHILE.,Positive,Positive Sentiment
This is a great deal.,Positive,Positive Sentiment
"After my phone got to be about a year old, it's been slowly breaking despite much care on my part.",Negative,Negative Sentiment
I am sorry I made this purchase.,Negative,Purchase or Value Concerns
I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.,Negative,Negative Sentiment
Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.,Negative,Purchase or Value Concerns
It was horrible!.,Negative,Negative Sentiment
I don't think it would hold it too securly on your belt.,Negative,Negative Sentiment
This allows the possibility of double booking for the same date and time after the first.,Negative,Negative Sentiment
They work about 2 weeks then break.,Negative,Negative Sentiment
It is simple to use and I like it.,Positive,Positive Sentiment
"It's a great tool for entertainment, communication, and data management.Oh, be sure to use ActiveSync 4.2 for optimal data synchronization results!",Positive,Positive Sentiment
I can't use this case because the smell is disgusting.,Negative,Negative Sentiment
NOT WHAT I WANTED.,Negative,Negative Sentiment
I own 2 of these cases and would order another.,Positive,Positive Sentiment
Great Phone.,Positive,Positive Sentiment
I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,Positive,Positive Sentiment
"The internet access was fine, it the rare instance that it worked.",Negative,Negative Sentiment
Perfect for the PS3.,Positive,Positive Sentiment
"Five star Plus, plus.",Positive,Positive Sentiment
A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,Positive,Positive Sentiment
$50 Down the drain.,Negative,Negative Sentiment
I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.,Negative,Negative Sentiment
"Good , works fine.",Positive,Positive Sentiment
For the price this was a great deal.,Positive,Positive Sentiment
"Great price, too!",Positive,Positive Sentiment
"If there is a wind, it is completely useless.",Negative,Negative Sentiment
Yes it's shiny on front side - and I love it!,Positive,Positive Sentiment
Does Not Work.,Negative,Technical Issues
"At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr).",Negative,Technical Issues
The reception through this headset is excellent.,Positive,Positive Sentiment
2 thumbs up to this seller,Positive,Positive Sentiment
"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.",Positive,Positive Sentiment
Improper description.... I had to return it.,Negative,Purchase or Value Concerns
#1 It Works - #2 It is Comfortable.,Positive,Positive Sentiment
Battery charge-life is quite long.,Positive,Positive Sentiment
The Jabra EarGels fit my ears very well.,Positive,Positive Sentiment
Battery has no life.,Negative,Technical Issues
I checked everywhere and there is no feature for it which is really disappointing.,Negative,Negative Sentiment
Product is exactly as described.,Positive,Positive Sentiment
Gets a signal when other Verizon phones won't.,Positive,Positive Sentiment
Doesn't do the job.,Negative,Technical Issues
I would recommend it.,Positive,Positive Sentiment
Plan on ordering from them again and again.,Positive,Positive Sentiment
"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",Positive,Positive Sentiment
I have been very satisfied with this cell phone from day one.,Positive,Positive Sentiment
They keep getting better and better (this is my third one and I've had numerous Palms too).,Positive,Positive Sentiment
Awkward to use and unreliable.,Negative,Negative Sentiment
The shipping time was also very quick!,Positive,Positive Sentiment
Not as good as I had hoped.,Negative,Negative Sentiment
Good case!.,Positive,Positive Sentiment
Doesn't Work.,Negative,Technical Issues
Really good product.,Positive,Positive Sentiment
Unfortunately it did not work.,Negative,Technical Issues
All three broke within two months of use.,Negative,Negative Sentiment
dont buy it.,Negative,Purchase or Value Concerns
"My father has the V265, and the battery is dying.",Negative,Technical Issues
"However, the ear pads come off easily and after only one week I lost one.",Negative,Negative Sentiment
"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",Negative,Negative Sentiment
"Horrible, horrible protector.",Negative,Negative Sentiment
I don't like this Nokia either.,Negative,Negative Sentiment
"Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.",Negative,Negative Sentiment
I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,Negative,Negative Sentiment
It would take too long to describe how bad my customer service experience has been with Amazon.,Negative,Negative Sentiment
the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,Negative,Negative Sentiment
Terrible.. My car will not accept this cassette.,Negative,Negative Sentiment
"Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.",Negative,Technical Issues
It's not what it says it is.,Negative,Negative Sentiment
Stay Away From the Q!.,Negative,Negative Sentiment
Used and dirty.,Negative,Negative Sentiment
Very unreliable service from T-mobile !,Negative,Negative Sentiment
Not good enough for the price.,Negative,Purchase or Value Concerns
I bought two of them and neither will charge.,Negative,Technical Issues
It looks very nice.,Positive,Positive Sentiment
"This is an excellent tool, especially when paired with your phone's auto-answer.",Positive,Positive Sentiment
I have read other's reviews here but I haven't had any problem with it.,Positive,Positive Sentiment
These products cover up the important light sensor above the ear outlet.,Negative,Negative Sentiment
Comfortable in my hand.,Positive,Positive Sentiment
Just does not work.,Negative,Technical Issues
Poor Reliability.,Negative,Negative Sentiment
